iso3,indicator,year,quintile,value,source
AGO,BC_BHF,1996,ALL,15.7,Multiple Indicator Cluster Survey 1996
AGO,BC_BHF,2007,ALL,45.8,Other NS 2006-2007
AGO,BC_BHF,2016,ALL,45.6,Demographic and Health Survey 2015-2016
AGO,BC_BHF,2016,WQ1,12.0,Demographic and Health Survey 2015-2016
AGO,BC_BHF,2016,WQ2,24.4,Demographic and Health Survey 2015-2016
AGO,BC_BHF,2016,WQ3,54.9,Demographic and Health Survey 2015-2016
AGO,BC_BHF,2016,WQ4,72.0,Demographic and Health Survey 2015-2016
AGO,BC_BHF,2016,WQ5,85.9,Demographic and Health Survey 2015-2016
BDI,BC_BHF,2005,ALL,28.5,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2005,WQ1,19.2,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2005,WQ2,22.9,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2005,WQ3,24.8,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2005,WQ4,25.7,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2005,WQ5,52.1,Multiple Indicator Cluster Survey 2005
BDI,BC_BHF,2010,ALL,59.5,Demographic and Health Survey 2010
BDI,BC_BHF,2010,WQ1,50.0,Demographic and Health Survey 2010
BDI,BC_BHF,2010,WQ2,53.1,Demographic and Health Survey 2010
BDI,BC_BHF,2010,WQ3,56.6,Demographic and Health Survey 2010
BDI,BC_BHF,2010,WQ4,60.9,Demographic and Health Survey 2010
BDI,BC_BHF,2010,WQ5,79.3,Demographic and Health Survey 2010
BDI,BC_BHF,2012,ALL,78.2,Enquete ménages pour le suivi et l'évaluation de l'impact de l'appui au système de remboursement du paquet minimum des services des santé 2012
BDI,BC_BHF,2017,ALL,83.9,Demographic and Health Survey 2016-2017
BDI,BC_BHF,2017,WQ1,76.2,Demographic and Health Survey 2016-2017
BDI,BC_BHF,2017,WQ2,82.4,Demographic and Health Survey 2016-2017
BDI,BC_BHF,2017,WQ3,83.7,Demographic and Health Survey 2016-2017
BDI,BC_BHF,2017,WQ4,85.6,Demographic and Health Survey 2016-2017
BDI,BC_BHF,2017,WQ5,94.8,Demographic and Health Survey 2016-2017
BEN,BC_BHF,1996,ALL,63.9,Demographic and Health Survey 1996
BEN,BC_BHF,2001,ALL,76.0,Demographic and Health Survey 2001
BEN,BC_BHF,2006,ALL,78.1,Demographic and Health Survey 2006
BEN,BC_BHF,2006,WQ1,56.2,Demographic and Health Survey 2006
BEN,BC_BHF,2006,WQ2,70.8,Demographic and Health Survey 2006
BEN,BC_BHF,2006,WQ3,79.8,Demographic and Health Survey 2006
BEN,BC_BHF,2006,WQ4,91.8,Demographic and Health Survey 2006
BEN,BC_BHF,2006,WQ5,98.0,Demographic and Health Survey 2006
BEN,BC_BHF,2012,ALL,86.9,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2012,WQ1,70.5,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2012,WQ2,81.9,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2012,WQ3,87.6,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2012,WQ4,97.2,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2012,WQ5,98.9,Demographic and Health Survey 2011-2012
BEN,BC_BHF,2014,ALL,87.0,Multiple Indicator Cluster Survey 2014
BEN,BC_BHF,2018,ALL,83.9,Demographic and Health Survey 2017-2018
BEN,BC_BHF,2018,WQ1,61.3,Demographic and Health Survey 2017-2018
BEN,BC_BHF,2018,WQ2,79.5,Demographic and Health Survey 2017-2018
BEN,BC_BHF,2018,WQ3,87.5,Demographic and Health Survey 2017-2018
BEN,BC_BHF,2018,WQ4,95.3,Demographic and Health Survey 2017-2018
BEN,BC_BHF,2018,WQ5,99.1,Demographic and Health Survey 2017-2018
BFA,BC_BHF,1993,ALL,43.0,Demographic and Health Survey 1992-1993
BFA,BC_BHF,1999,ALL,32.1,Demographic and Health Survey 1998-1999
BFA,BC_BHF,2003,ALL,38.4,Demographic and Health Survey 2003
BFA,BC_BHF,2003,WQ1,19.6,Demographic and Health Survey 2003
BFA,BC_BHF,2003,WQ2,25.3,Demographic and Health Survey 2003
BFA,BC_BHF,2003,WQ3,32.7,Demographic and Health Survey 2003
BFA,BC_BHF,2003,WQ4,45.6,Demographic and Health Survey 2003
BFA,BC_BHF,2003,WQ5,84.5,Demographic and Health Survey 2003
BFA,BC_BHF,2006,ALL,50.5,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2006,WQ1,38.6,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2006,WQ2,33.7,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2006,WQ3,42.9,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2006,WQ4,55.6,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2006,WQ5,93.9,Multiple Indicator Cluster Survey 2006
BFA,BC_BHF,2010,ALL,66.3,Demographic and Health Survey 2010
BFA,BC_BHF,2010,WQ1,46.1,Demographic and Health Survey 2010
BFA,BC_BHF,2010,WQ2,56.0,Demographic and Health Survey 2010
BFA,BC_BHF,2010,WQ3,67.3,Demographic and Health Survey 2010
BFA,BC_BHF,2010,WQ4,77.1,Demographic and Health Survey 2010
BFA,BC_BHF,2010,WQ5,93.2,Demographic and Health Survey 2010
BFA,BC_BHF,2015,ALL,82.2,Multisectoral Continuous Survey Demographic and Health Module 2015
BFA,BC_BHF,2015,WQ1,69.2,Multisectoral Continuous Survey Demographic and Health Module 2015
BFA,BC_BHF,2015,WQ2,81.2,Multisectoral Continuous Survey Demographic and Health Module 2015
BFA,BC_BHF,2015,WQ3,84.9,Multisectoral Continuous Survey Demographic and Health Module 2015
BFA,BC_BHF,2015,WQ4,87.4,Multisectoral Continuous Survey Demographic and Health Module 2015
BFA,BC_BHF,2015,WQ5,94.8,Multisectoral Continuous Survey Demographic and Health Module 2015
BWA,BC_BHF,1996,ALL,80.0,Other NS 1996
BWA,BC_BHF,2007,ALL,93.8,Family Health Survey IV Report 2007
BWA,BC_BHF,2009,ALL,99.5,Statistics Brief: Maternal Mortality Ratio (MMR) 2006 - 2010
BWA,BC_BHF,2010,ALL,99.0,Statistics Brief: Maternal Mortality Ratio (MMR) 2006 - 2010
BWA,BC_BHF,2011,ALL,99.8,Statistics Stats Brief 2008-2012
BWA,BC_BHF,2012,ALL,99.8,Statistics Stats Brief 2008-2012
BWA,BC_BHF,2013,ALL,99.9,Statistics Stats Brief 2009-2013
BWA,BC_BHF,2015,ALL,99.7,Statistics Brief Maternal Mortality Ration  2011-2015)
CAF,BC_BHF,1995,ALL,49.8,Demographic and Health Survey 1994-1995
CAF,BC_BHF,2006,ALL,51.0,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2006,WQ1,26.0,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2006,WQ2,38.6,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2006,WQ3,48.4,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2006,WQ4,65.9,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2006,WQ5,83.0,Multiple Indicator Cluster Survey 2006
CAF,BC_BHF,2009,ALL,55.8,Other NS 2009
CAF,BC_BHF,2010,ALL,52.5,Multiple Indicator Cluster Survey 2010
CAF,BC_BHF,2010,WQ1,30.9,Multiple Indicator Cluster Survey 2010
CAF,BC_BHF,2010,WQ2,39.2,Multiple Indicator Cluster Survey 2010
