outcome,estimator,rel_year,estimate,se,ci_low,ci_high,pvalue
log_u5mr,lpdid,-6,0.05598360505474476,0.026764275396272907,0.0015920533348018281,0.1103751567746877,0.044004753740142455
log_u5mr,lpdid,-5,0.040236893229534824,0.023450746014906855,-0.007420756598664015,0.08789454305773367,0.0952984465273452
log_u5mr,lpdid,-4,0.03264728530473533,0.01874141492920631,-0.005439852281989323,0.07073442289145998,0.0905520529006727
log_u5mr,lpdid,-3,0.019465757609420216,0.013432527370645304,-0.00783242238583368,0.04676393760467411,0.1564568509067561
log_u5mr,lpdid,-2,0.004438748601494768,0.007828006108211211,-0.011469673830823033,0.020347171033812568,0.5744156986720368
log_u5mr,lpdid,0,-0.011724011192632075,0.005164361503397514,-0.022219256502043472,-0.0012287658832206769,0.029651941795606263
log_u5mr,lpdid,1,-0.030629543766116277,0.00971879255505828,-0.05038050657333139,-0.010878580958901162,0.003381077062136084
log_u5mr,lpdid,2,-0.03397497763120488,0.010445452561542659,-0.055202691246738655,-0.012747264015671111,0.0025847018771409935
log_u5mr,lpdid,3,-0.04863026408728591,0.015334887713324538,-0.07979450544369346,-0.017466022730878362,0.0032099521321660163
log_u5mr,lpdid,4,-0.061043911103098474,0.02084408518688032,-0.10340418877588681,-0.018683633430310147,0.006038966516757283
log_u5mr,lpdid,5,-0.0621965886661001,0.02824215360678525,-0.11959155026479704,-0.004801627067403162,0.034528523960297264
log_u5mr,lpdid,6,-0.0812116714691438,0.03130525598321557,-0.1448316060538193,-0.0175917368844683,0.013889635368536712
log_u5mr,lpdid,7,-0.08219035160875814,0.035474996151865563,-0.15428421775645412,-0.010096485461062135,0.026668643913894563
log_u5mr,lpdid,8,-0.11228192444922783,0.04744719279005385,-0.20870622147935403,-0.015857627419101628,0.023797230912789846
log_u5mr,twfe,-6,0.06902264370532232,0.040875920876536,-0.014047222059323489,0.15209250946996813,0.10045098013292586
log_u5mr,twfe,-5,0.04175763475743845,0.024232035922482104,-0.00748778719561554,0.09100305671049244,0.09392960120334304
log_u5mr,twfe,-4,0.03345913839995957,0.0192772696570203,-0.005716987015157,0.07263526381507615,0.09167704262849319
log_u5mr,twfe,-3,0.020447258119656385,0.013807978404283954,-0.007613930177227321,0.04850844641654009,0.1478604282246283
log_u5mr,twfe,-2,0.00597061477940322,0.007442658657072677,-0.009154687411158716,0.021095916969965156,0.42800025665283403
log_u5mr,twfe,0,-0.011732285834135579,0.005008188145224196,-0.02191014869389754,-0.0015544229743736163,0.025140271534500602
log_u5mr,twfe,1,-0.030114655663727112,0.008994162322118518,-0.048392992658764775,-0.01183631866868945,0.0019983216818255656
log_u5mr,twfe,2,-0.03675252780450734,0.010384066352699856,-0.0578554896341725,-0.015649565974842187,0.0011852957078308801
log_u5mr,twfe,3,-0.05203708430086084,0.015550948276298382,-0.08364041355005208,-0.020433755051669604,0.002009229718640926
log_u5mr,twfe,4,-0.06448219551430774,0.020576333363321386,-0.10629833601380861,-0.02266605501480686,0.003543412508813626
log_u5mr,twfe,5,-0.06625593592389088,0.026677554745035314,-0.12047125007651177,-0.01204062177127,0.018097107322519124
log_u5mr,twfe,6,-0.0840374616843757,0.029231433759949826,-0.14344288244251835,-0.024632040926233063,0.0069247546962381
log_u5mr,twfe,7,-0.08710175335158614,0.033300631770907654,-0.15477677942482443,-0.019426727278347863,0.013186762615045033
log_u5mr,twfe,8,-0.16288984472033366,0.06580893833743819,-0.29662969832062075,-0.02914999112004657,0.018459690864372158
log_nmr,lpdid,-6,0.027759771472025598,0.020123655432959634,-0.013136416789008305,0.0686559597330595,0.17675924263702636
log_nmr,lpdid,-5,0.022964981713362875,0.016794430668481,-0.011165407799774745,0.05709537122650049,0.18046701570609636
log_nmr,lpdid,-4,0.016644469326289404,0.013232461079852863,-0.010247127048001993,0.0435360657005808,0.21701614827065585
log_nmr,lpdid,-3,0.011922129463056652,0.008464845127383316,-0.0052805055692929405,0.029124764495406245,0.1680834997537577
log_nmr,lpdid,-2,0.00571568095002614,0.004235026919726187,-0.002890929254400135,0.014322291154452415,0.186055882041555
log_nmr,lpdid,0,-0.0037640868456321787,0.0033452085939382607,-0.010562368643185657,0.0030341949519212983,0.2683776530571147
log_nmr,lpdid,1,-0.009721103646120397,0.006342565372530485,-0.02261074729943417,0.0031685400071933753,0.13460867456977876
log_nmr,lpdid,2,-0.013979496918467877,0.009136624619926285,-0.03254735213601016,0.004588358299074407,0.13525611541991234
log_nmr,lpdid,3,-0.018236848527586343,0.012080990136226941,-0.04278837439905507,0.006314677343882382,0.140396602974024
log_nmr,lpdid,4,-0.021209300839447925,0.014800482397980787,-0.05128749992799793,0.00886889824910208,0.1609855466750254
log_nmr,lpdid,5,-0.02393297128804274,0.018491616024600463,-0.061512456422448576,0.013646513846363097,0.20429757280553806
log_nmr,lpdid,6,-0.02698198109710012,0.02259321971930199,-0.07289692781946042,0.018932965625260166,0.24064514914408042
log_nmr,lpdid,7,-0.027203464452871196,0.02703834718800737,-0.08215199706672537,0.027745068160982975,0.3214712103209463
log_nmr,lpdid,8,-0.029441985133244714,0.03443869491813014,-0.09942983378868273,0.040545863522193304,0.39858520423042587
log_nmr,twfe,-6,0.028003431179451383,0.03724150352326252,-0.047680409874435364,0.10368727223333812,0.45726039327875334
log_nmr,twfe,-5,0.02338027525390089,0.017868521371955916,-0.01293292919388284,0.05969347970168462,0.19949326007951385
log_nmr,twfe,-4,0.017240245486570226,0.014106134055375736,-0.011426867995166803,0.045907358968307256,0.23004488688361802
log_nmr,twfe,-3,0.012404039427708324,0.009066143947884584,-0.0060205818310641885,0.030828660686480838,0.1802328255162884
log_nmr,twfe,-2,0.006044651373678097,0.004559830238386843,-0.003222038591704472,0.015311341339060666,0.1938005102675746
log_nmr,twfe,0,-0.0041963644001348985,0.0038075702209196286,-0.01193427807544047,0.0035415492751706716,0.27815417588351843
log_nmr,twfe,1,-0.01029799930787047,0.007055993587626521,-0.0246375035341055,0.004041504918364561,0.15361454574980393
log_nmr,twfe,2,-0.015128855232626035,0.010165046625654591,-0.03578671542457119,0.005529004959319116,0.14588346867268887
log_nmr,twfe,3,-0.01970344805813037,0.013092615107498639,-0.0463108432229547,0.006903947106693956,0.14157662792697945
log_nmr,twfe,4,-0.022759357478257046,0.015730379077794274,-0.05472733398859078,0.00920861903207669,0.15709882820374022
log_nmr,twfe,5,-0.025533636287422255,0.019270839549424743,-0.06469669415168344,0.01362942157683893,0.1940112848475133
log_nmr,twfe,6,-0.02844226472077274,0.023054028744506454,-0.07529368805444885,0.018409158612903372,0.22576722516826453
log_nmr,twfe,7,-0.030226565489469268,0.026835074362563507,-0.08476199801992165,0.02430886704098311,0.26789117811705454
log_nmr,twfe,8,-0.046151041412522624,0.04842808244150544,-0.1445687460510579,0.05226666322601265,0.34732605572219466
dtp3,lpdid,-6,-0.29702744867153863,2.8910648990143852,-6.172378215774709,5.578323318431631,0.9187730652707278
dtp3,lpdid,-5,-1.2588138309859844,2.918408000753137,-7.189732466465449,4.672104804493481,0.6689469396298218
dtp3,lpdid,-4,-3.66253191588089,3.020389881521378,-9.800702668601506,2.475638836839726,0.23364048125647385
dtp3,lpdid,-3,-5.829161354375933,3.0949264013954907,-12.118808540354365,0.4604858316025,0.068215304189434
dtp3,lpdid,-2,-0.4119818133545902,1.3765684817119324,-3.2095055520134936,2.385541925304313,0.7665469579776221
dtp3,lpdid,0,0.5624880533829039,1.1544215304579748,-1.7835787633284732,2.908554870094281,0.6292103670328184
dtp3,lpdid,1,2.2998298991313786,1.971051504106555,-1.7058286976715995,6.305488495934357,0.25140850893586064
dtp3,lpdid,2,3.2908384764246117,2.6238865022040097,-2.041540460752362,8.623217413601585,0.21832927120328738
dtp3,lpdid,3,2.9694786383254237,2.546315795235845,-2.205257655531604,8.144214932182452,0.2516545246697288
dtp3,lpdid,4,0.7929349041694624,3.0064104889379246,-5.316826304729834,6.902696113068759,0.7935660951453025
dtp3,lpdid,5,2.1849445903548887,3.2291159935225213,-4.377408657431287,8.747297838141064,0.5032129248807462
dtp3,lpdid,6,2.8746178397446673,3.170055898151821,-3.5677108535046216,9.316946532993956,0.3708928959192379
dtp3,lpdid,7,0.9440438971479616,3.2429269923828814,-5.646376677240373,7.534464471536297,0.7727368330702247
dtp3,lpdid,8,5.289579105845388,3.764303968470209,-2.3604069654810935,12.93956517717187,0.16903518693170083
dtp3,twfe,-6,-2.38600169209852,3.8629510668043037,-10.236462787374592,5.4644594031775515,0.5409128028454482
dtp3,twfe,-5,-1.2729527065379427,2.894505893908662,-7.1552964166215975,4.609391003545712,0.6628776410523303
dtp3,twfe,-4,-3.585657526925977,3.020395151679984,-9.723838989897484,2.55252393604553,0.24339738900345576
dtp3,twfe,-3,-5.78424425407177,3.138554492113677,-12.162554387864253,0.5940658797207128,0.07406715150381271
dtp3,twfe,-2,-0.37029854712130805,1.3093936294379511,-3.031306561082184,2.2907094668395684,0.7790436174751654
dtp3,twfe,0,0.5693544923060112,1.2098939069671346,-1.8894457569849115,3.028154741596934,0.6409441637786122
dtp3,twfe,1,2.2193088839503634,2.0081530542790618,-1.8617491344778676,6.300366902378594,0.27685431677203765
dtp3,twfe,2,3.138396547346265,2.5840593718742833,-2.113043922896241,8.389837017588771,0.2329166212894047
dtp3,twfe,3,2.7331495288878838,2.5735984923252078,-2.4970318763283794,7.963330934104147,0.29572328403735826
dtp3,twfe,4,0.5823372381502172,3.1310783785187795,-5.780779604837999,6.945454081138434,0.853560820867765
dtp3,twfe,5,2.0508880752629235,3.3083084713580826,-4.672403650783837,8.774179801309684,0.5394429822949589
dtp3,twfe,6,2.7604740042170497,3.242371167185643,-3.8288169974660575,9.349765005900156,0.4005178222299264
dtp3,twfe,7,0.9353468368613553,3.3245720704926818,-5.820996499228438,7.691690172951149,0.7801521443273349
dtp3,twfe,8,7.159362600004461,4.710120261361239,-2.4127534393730565,16.73147863938198,0.13775795205297747
mcv1,lpdid,-6,-0.7809222888541127,2.502032707780752,-5.865664521374891,4.3038199436666655,0.756859158159636
mcv1,lpdid,-5,-2.2963793906480703,2.0136575003427812,-6.388623789366131,1.79586500806999,0.262088579316508
mcv1,lpdid,-4,-5.504579576223863,2.017591398999963,-9.604818618888194,-1.404340533559532,0.010002522956159332
mcv1,lpdid,-3,-8.704754820210567,2.347861739470823,-13.476183948887297,-3.933325691533838,0.0007422748883807451
mcv1,lpdid,-2,-3.524327437014572,1.391046410131387,-6.3512738662102075,-0.6973810078189366,0.016068299786541118
mcv1,lpdid,0,0.9670504185796945,1.6416679378492927,-2.369220234237473,4.303321071396862,0.5597109950132206
mcv1,lpdid,1,3.108788392525711,1.8597559181542151,-0.670690360814326,6.888267145865749,0.10378142272709479
mcv1,lpdid,2,2.793520664500264,2.727365573260477,-2.749153046660514,8.336194375661043,0.3129469529568465
mcv1,lpdid,3,1.07585252345525,2.293833371111898,-3.585777750276658,5.737482797187158,0.642049367143045
mcv1,lpdid,4,0.2601816508446359,2.4292837375713967,-4.676716886409661,5.1970801880989335,0.9153373905398088
mcv1,lpdid,5,1.4698508561662782,2.965664547886941,-4.557104637755173,7.49680635008773,0.6233490803789408
