outcome,estimator,iso3,weight
log_mmr,synth,GNB,0.185
log_mmr,synth,NGA,0.266
log_mmr,synth,TCD,0.549
log_mmr,augsynth,AGO,0.025
log_mmr,augsynth,CIV,-0.162
log_mmr,augsynth,CMR,0.206
log_mmr,augsynth,COD,-0.298
log_mmr,augsynth,COG,-0.012
log_mmr,augsynth,COM,0.122
log_mmr,augsynth,ETH,-0.167
log_mmr,augsynth,GAB,-0.066
log_mmr,augsynth,GIN,0.074
log_mmr,augsynth,GMB,0.368
log_mmr,augsynth,GNB,0.499
log_mmr,augsynth,MDG,0.104
log_mmr,augsynth,MOZ,-0.208
log_mmr,augsynth,MRT,0.156
log_mmr,augsynth,NAM,0.014
log_mmr,augsynth,NGA,-0.023
log_mmr,augsynth,SWZ,0.041
log_mmr,augsynth,TCD,0.456
log_mmr,augsynth,TGO,-0.095
log_mmr,augsynth,ZWE,-0.035
log_u5mr,synth,TCD,1.0
log_u5mr,augsynth,AGO,0.117
log_u5mr,augsynth,CIV,0.188
log_u5mr,augsynth,CMR,0.191
log_u5mr,augsynth,COD,0.029
log_u5mr,augsynth,COG,-0.159
log_u5mr,augsynth,COM,-0.237
log_u5mr,augsynth,ETH,-0.333
log_u5mr,augsynth,GAB,0.018
log_u5mr,augsynth,GIN,0.264
log_u5mr,augsynth,GMB,-0.139
log_u5mr,augsynth,GNB,0.344
log_u5mr,augsynth,MDG,-0.028
log_u5mr,augsynth,MOZ,0.543
log_u5mr,augsynth,MRT,-0.038
log_u5mr,augsynth,NAM,-0.033
log_u5mr,augsynth,NGA,-0.104
log_u5mr,augsynth,SWZ,0.069
log_u5mr,augsynth,TCD,0.209
log_u5mr,augsynth,TGO,0.047
log_u5mr,augsynth,ZWE,0.053
