outcome,estimator,rel_year,estimate,se,ci_low,ci_high,pvalue
log_u5mr,lpdid,-6,0.05598360505474477,0.02676427539627292,0.0015920533348018073,0.11037515677468773,0.044004753740142455
log_u5mr,lpdid,-5,0.040236893229534824,0.02345074601490686,-0.007420756598664022,0.08789454305773367,0.0952984465273452
log_u5mr,lpdid,-4,0.03264728530473532,0.018741414929206307,-0.00543985228198933,0.07073442289145997,0.09055205290067292
log_u5mr,lpdid,-3,0.019465757609420212,0.013432527370645304,-0.007832422385833683,0.04676393760467411,0.1564568509067561
log_u5mr,lpdid,-2,0.0044387486014947665,0.007828006108211211,-0.011469673830823035,0.020347171033812568,0.5744156986720368
log_u5mr,lpdid,0,-0.011724011192632073,0.005164361503397514,-0.02221925650204347,-0.0012287658832206751,0.029651941795606263
log_u5mr,lpdid,1,-0.03062954376611627,0.00971879255505828,-0.05038050657333139,-0.010878580958901155,0.003381077062136084
log_u5mr,lpdid,2,-0.03397497763120488,0.010445452561542659,-0.055202691246738655,-0.012747264015671111,0.0025847018771409935
log_u5mr,lpdid,3,-0.04863026408728591,0.015334887713324538,-0.07979450544369346,-0.017466022730878362,0.0032099521321660163
log_u5mr,lpdid,4,-0.061043911103098474,0.02084408518688032,-0.10340418877588681,-0.018683633430310147,0.006038966516757283
log_u5mr,lpdid,5,-0.06219658866610012,0.02824215360678526,-0.11959155026479708,-0.004801627067403155,0.034528523960297486
log_u5mr,lpdid,6,-0.08121167146914386,0.031305255983215576,-0.1448316060538194,-0.017591736884468342,0.013889635368536712
log_u5mr,lpdid,7,-0.08219035160875814,0.03547499615186557,-0.15428421775645415,-0.010096485461062121,0.026668643913894563
log_u5mr,lpdid,8,-0.11228192444922779,0.04744719279005384,-0.20870622147935397,-0.0158576274191016,0.023797230912789846
log_u5mr,twfe,-6,0.06902264370532261,0.0408759208765359,-0.014047222059323003,0.15209250946996822,0.10045098013292386
log_u5mr,twfe,-5,0.04175763475743863,0.024232035922482565,-0.007487787195616297,0.09100305671049355,0.09392960120334748
log_u5mr,twfe,-4,0.03345913839995973,0.019277269657020722,-0.005716987015157701,0.07263526381507716,0.09167704262849852
log_u5mr,twfe,-3,0.02044725811965654,0.013807978404284391,-0.007613930177228053,0.04850844641654113,0.14786042822463763
